Player,Position,Projected Fantasy Points,VORP,Overall Rank,Position Rank
Justin Jefferson,WR,243.8,125.50000000000001,4,1.0
Cooper Kupp,WR,240.6,122.3,5,2.0
Travis Kelce,TE,219.8,126.74158000000001,2,1.0
Austin Ekeler,RB,270.55,182.0,1,1.0
Ja'Marr Chase,WR,238.3,120.00000000000001,6,3.0
Nick Chubb,RB,214.05,125.50000000000001,16,8.0
CeeDee Lamb,WR,212.8,94.50000000000001,18,6.0
Jalen Hurts,QB,351.4,121.59999999999997,9,3.0
Christian McCaffrey,RB,251.55,163.0,3,2.0
Derrick Henry,RB,228.05,139.5,10,3.0
Tyreek Hill,WR,226.3,108.00000000000001,14,4.0
Tony Pollard,RB,225.55,137.0,12,6.0
Bijan Robinson,RB,226.75,138.2,11,5.0
Patrick Mahomes,QB,355.3,125.5,7,1.0
Josh Allen,QB,352.07,122.26999999999998,8,2.0
Saquon Barkley,RB,220.05,131.5,15,7.0
Mark Andrews,TE,158.05,64.99158000000001,24,2.0
Jonathan Taylor,RB,205.9876,117.43759999999999,20,9.0
AJ Brown,WR,187.8,69.50000000000001,27,11.0
Stefon Diggs,WR,213.3,95.00000000000001,17,5.0
Jaylen Waddle,WR,195.3,77.00000000000001,22,9.0
Lamar Jackson,QB,309.5,79.69999999999999,26,5.0
Jahmyr Gibbs,RB,184.82191,96.27191,28,10.0
Davante Adams,WR,190.58676,72.28676,25,10.0
Josh Jacobs,RB,181.50951,92.95951000000001,29,11.0
Amon-Ra St Brown,WR,198.3,80.00000000000001,21,8.0
T.J. Hockenson,TE,135.2988,42.24038,38,3.0
George Kittle,TE,134.3,41.24158000000001,39,4.0
Justin Fields,QB,273.0,43.19999999999999,60,9.0
Joe Burrow,QB,316.3,86.5,23,4.0
Miles Sanders,RB,131.55,43.000000000000014,73,20.0
Breece Hall,RB,180.91619,92.36619,32,12.0
Alexander Mattison,RB,129.05,40.500000000000014,77,21.0
Daniel Jones,QB,240.3,10.5,115,11.0
Chris Olave,WR,175.8,57.500000000000014,34,14.0
Justin Herbert,QB,305.8,76.0,30,6.0
Trevor Lawrence,QB,279.2,49.39999999999998,55,8.0
Tee Higgins,WR,174.3,56.000000000000014,35,15.0
Joe Mixon,RB,127.55,39.0,78,22.0
Deebo Samuel,WR,180.8,62.500000000000014,31,12.0
Christian Kirk,WR,150.8,32.500000000000014,53,25.0
Darren Waller,TE,127.3,34.24158,46,5.0
Rhamondre Stevenson,RB,227.55,139.0,13,4.0
Najee Harris,RB,142.55,54.000000000000014,63,17.0
Aaron Jones,RB,113.05,24.5,112,32.0
DeVonta Smith,WR,176.8,58.500000000000014,33,13.0
Terry McLaurin,WR,153.3,35.000000000000014,51,24.0
Dallas Goedert,TE,117.3,24.24158,54,7.0
Brandon Aiyuk,WR,134.3,16.000000000000014,71,35.0
Geno Smith,QB,281.9,52.099999999999966,48,7.0
Garrett Wilson,WR,209.3,91.00000000000001,19,7.0
Jerry Jeudy,WR,159.3,41.000000000000014,47,22.0
Amari Cooper,WR,170.3,52.000000000000014,36,17.0
J.K. Dobbins,RB,114.05,25.5,107,29.5
Dameon Pierce,RB,123.05,34.5,83,25.0
Tyler Lockett,WR,162.8,44.500000000000014,45,21.0
Kyle Pitts,TE,123.3,30.24158,49,6.0
Evan Engram,TE,116.8,23.74158,56,8.0
Travis Etienne,RB,163.27857,74.72857,42,14.0
Christian Watson,WR,154.9,36.60000000000001,50,23.0
DK Metcalf,WR,172.8,54.500000000000014,37,16.0
Calvin Ridley,WR,164.3,46.000000000000014,41,18.5
Mike Williams,WR,141.8,23.500000000000014,66,32.5
Diontae Johnson,WR,139.94617,21.646169999999998,68,34.0
Kirk Cousins,QB,263.6,33.80000000000001,72,10.0
Keenan Allen,WR,163.3,45.000000000000014,44,20.0
Marquise Brown,WR,142.3,24.000000000000014,65,31.0
Drake London,WR,144.8,26.500000000000014,62,29.0
James Cook,RB,88.55,0.0,121,36.0
Kenneth Walker,RB,164.87562,76.32562,40,13.0
Rachaad White,RB,97.05,8.5,120,35.0
JuJu Smith-Schuster,WR,120.62687,2.3268699999999995,93,41.0
Cam Akers,RB,114.05,25.5,106,29.5
David Montgomery,RB,114.05,25.5,105,29.5
James Conner,RB,114.05,25.5,104,29.5
D.J. Moore,WR,145.6,27.299999999999997,59,28.0
Jordan Addison,WR,121.02818,2.728180000000009,97,39.0
Dalton Schultz,TE,93.05842,0.0,82,12.0
Pat Freiermuth,TE,93.84284,0.7844199999999972,80,11.0
DeAndre Hopkins,WR,146.05,27.750000000000014,58,27.0
Tyler Higbee,TE,105.8,12.741579999999999,69,9.0
Javonte Williams,RB,151.34756,62.79755999999999,52,15.0
Michael Thomas,WR,119.78785,1.4878500000000088,90,42.0
Treylon Burks,WR,120.89714,2.597139999999996,89,40.0
Sam LaPorta,TE,80.65967,-12.398749999999993,109,21.0
Isiah Pacheco,RB,110.55,22.0,117,34.0
Chris Godwin,WR,147.3,29.000000000000014,57,26.0
Jaxon Smith-Njigba,WR,124.13492,5.834919999999997,81,37.0
Hunter Henry,TE,82.02285,-11.035569999999993,114,20.0
George Pickens,WR,129.8,11.500000000000014,76,36.0
Romeo Doubs,WR,118.36825,0.06825000000000614,99,47.0
David Njoku,TE,100.09454,7.036119999999997,75,10.0
Dawson Knox,TE,89.3,-3.758420000000001,87,15.0
Alvin Kamara,RB,142.65979,54.10978999999999,64,16.0
Devon Achane,RB,123.51976,34.96976000000001,84,24.0
Jahan Dotson,WR,122.3,4.0,88,38.0
Odell Beckham,WR,118.58483,0.2848299999999995,96,45.0
Gabe Davis,WR,141.8,23.500000000000014,67,32.5
Michael Pittman Jr.,WR,144.3,26.000000000000014,61,30.0
Brandin Cooks,WR,118.38008,0.08008000000000948,92,46.0
Anthony Richardson,QB,229.8,0.0,119,12.0
Zay Flowers,WR,119.04165,0.741650000000007,100,43.0
Allen Lazard,WR,118.3,0.0,98,48.0
Taysom Hill,TE,82.15935,-10.899069999999995,110,19.0
Rashaad Penny,RB,133.78547,45.23547000000001,70,18.0
Mike Evans,WR,164.3,46.000000000000014,43,18.5
Jakobi Meyers,WR,118.26269,-0.03730999999999085,95,49.0
Gerald Everett,TE,87.08518,-5.973240000000004,103,16.0
A.J. Dillon,RB,111.55,23.0,113,33.0
Greg Dulcich,TE,91.60424,-1.4541799999999938,85,13.0
Cole Kmet,TE,84.6755,-8.382919999999999,101,17.0
Dalton Kincaid,TE,82.55702,-10.501400000000004,108,18.0
Chigoziem Okonkwo,TE,89.48667,-3.5717499999999944,86,14.0
D'Andre Swift,RB,77.05,-11.5,122,37.0
Irv Smith Jr.,TE,79.23279,-13.825630000000004,116,23.0
Samaje Perine,RB,119.79331,31.243310000000008,94,27.0
Khalil Herbert,RB,131.77255,43.22255,74,19.0
Elijah Moore,WR,118.66036,0.36036,102,44.0
Jake Ferguson,TE,79.48668,-13.571739999999991,111,22.0
Luke Musgrave,TE,77.84959,-15.208829999999992,118,24.0
Antonio Gibson,RB,120.57955,32.02955,91,26.0
Jerick McKinnon,RB,125.49992,36.949920000000006,79,23.0
